FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
ich,"我(が)党, 我(が)党, こっち, 当方, 自分, 自分, だい公, 少弟, 少弟, だいふ, 外臣, 老, 老, ひ人, おのが, こちら, 我, 老生, 手めえ, 下名, 愚生, 私儀, 僕, 僕, {母さん}, 予, イッヒ, 拙者, 卑称, 晩生, あたし, あっし, 朕, 小生, この方, 隠居, お姉さん, 〈此方〉, あ子, あ子, 私共, それがし, うぬ, おら, 本官, 我, 本職, 本職, 己, 己, 小職, 小職, 内, 内, 不肖, 不肖, 私, おいら, わっち, I, 愚臣, 愚臣, 俺, 手前, 手前, 身共, 小官, おい, わて, あたい, ちょ材, ちょ才, ちょれき, こっちとら, こちとら, わだす, あたくし, 拙生, てんでん, 児, 児, わい, ミー, あちき, わちき, おいどん",,de-DE,ja-JP
Ein,入,,de-DE,ja-JP
dann,"それはそうとして, そうしたら, それでは, そして, それならば, 次いで, じゃ, さよなら, さよなら, さてさて, それなら, 左様なら, 左様なら, そしたら, …とすると, …とすると, となると, となると, では, じゃあ, しかして, それじゃ, そこで, すると, しからば, さても, そんなら, それから, そうして, してみると, しかるのち, ほな, してみれば",,de-DE,ja-JP
ab,"…から離れて, から, 離れて",,de-DE,ja-JP
alle,"御一統様, 皆人, 誰でも, 皆, 軒並(み), 有りと有る, だれでも皆, {一人}残らず, そっくり, 全員ことごとく, 各個, 門並(み), 各般の, いずれ, 諸氏, 全部, 誰も, 誰しも, どんな人でも, 全部の, 一同, ありとあらゆる, 百般の, 各, 全員, 端から, 誰も彼も, もろ, 皆々様, 各自, みんな, 誰{一人}, 有る限り, 皆さん, 諸般の, あらゆる, 各人, どれも, 一杯, 一杯, おしなべて, 皆様, 皆…, 皆々, 面々, すべての, 各位, どれどれ, どれどれ, 各般, 共, 一統, 一統, 皆の衆, 合切, 各…, …ながら, 一々, 一々, だれもが皆, だれもかも, てんでん, ぜい員",,de-DE,ja-JP
wenn,"〈何時〉, イフ, …たら, いやしくも, 癖に, ならば, から, いやしくも…以上は, …なら, が, すれば, 際, 時, もし…たら, と, 〈何時〉何時, 〈何時〉〈何時〉, すりゃ",,de-DE,ja-JP
Jahre,"風霜, 春秋, 日月, 歳月, 年数, 日月, うと, 年期, 春秋",,de-DE,ja-JP
immer,"ことごとに, 折々, 常々, 日夜, 始終, 終始, 終始, 常日頃, 寝ても覚めても, しょっちゅう, 毎度, 日頃, 絶えず, 常時, エバー, 〈何時〉でも, 旦夕, 年中, 〈何時〉も, 朝夕, どんな時にも, 年中, 年百年中, 年中, 朝晩, 常に, いつだって, 〈何時〉〈何時〉, 切れ目無く, どんな時も, 長時",,de-DE,ja-JP
zwischen,"ないし, 中間に, …の間で, 相中, …の間, 中間の, インター, 間に",,de-DE,ja-JP
Wir,朕,,de-DE,ja-JP
Zeit,"潮時, 時日, 時称, 時期, 機, 時節, 間, 暇, 日月, 世, 世, 歳月, 時刻, 候, 日き, 刻限, 日月, 間, 時世, 時勢, いとま, 所, 時代, 調, 節, 三まや, 期, 期間, 折(り), 代, 月日, 一世, 機運, テンス, 光陰, 時分, 時間, 期, 時限, タイム, 時, 時, 季節, 日々, 光, 時世, 日時, 日時, 時相, 星霜, 漏刻, みぎり, しん刻, 白く",,de-DE,ja-JP
sehr,"アッサイ, 多分に, つっと, 善く善く, よくせき, たいそうな, 至極, 至極, 大いに, 素敵, 本当に, たまらなく, 痛く, 至って, 余りに, さのみ, 大分, いと, 中々, 無性に, 恐ろしく, すこぶる, すこぶる付き, 滅法, どうも, 普通, 普通, たっぷり, 浩, 一番, 一方ならず, 其(れ)は其(れ)は, めっぽうに, 千万, 何とも, 余っ程, とても, 猛, 極めて, まんまんと, 随分, すごく, 千度, 千度, ほとんど, ほとんど, 頗る付きの, 大変に, 本に, 余程, 馬鹿に, 大きに, 大きに, 大分, 大層, 大変, 思い切り, 思い切り, うまうまと, いとど, この上なく, とっても, この上もなく, 極, 極, まんまと, 非常な, 非常に, なんまら, なまら, めっちゃ, むっちゃ, 偉い事, 偉い事, ごっつ, ベリー, めっさ, 極まりて",,de-DE,ja-JP
Für,賛成論,,de-DE,ja-JP
bereits,"もう, 早, 既に, 先刻, もはや, 兼ねて, 早くも",,de-DE,ja-JP
seit,"…である上は, …来, それきり, から, このかた, それっきり, …した上は",,de-DE,ja-JP
soll,…そうだ,,de-DE,ja-JP
drei,"三, 三(つ), 三, 三, 三つ, スリー",,de-DE,ja-JP
ihr,"彼らの, 何れも方, 彼女に, なんじ, おれら, 各, 〈貴方〉達, 者共, 者共, 彼女の, 皆様方, 君たちは, なむだち, いずれもさま, なんじら, うぬら, てめえら",,de-DE,ja-JP
schon,"もう, 早, 既に, 先刻, …だに, も, もはや, 兼ねて, 早くも",,de-DE,ja-JP
uns,"我々を, 我らに, 手前共を, 我々に, 僕らを, 我らを",,de-DE,ja-JP
was,"どう言う, の, 何ら, 〈如何〉, 何ら, 何, 〈如何〉, 〈何方〉, 〈如何〉, 〈如何〉, なあに, 何の, どうとも, 何事, どう言う事, どういうことか",,de-DE,ja-JP
jedoch,"もっとも, さりながら, しかれども, それとて, けれども, けど, それでも, にもかかわらず, にもかかわらず, 〈流石〉, それにしても, ところが, けれど, しかし, それなのに, かと言って, 但(し), …ども, ばってん, されど, されども, ですが, なれど, なれども, それだのに, けんど",,de-DE,ja-JP
Deutschland,"ドイツ, 独, 独国",,de-DE,ja-JP
damit,"ように, これで, ため, ために, ために, それによって, 以上をもって",,de-DE,ja-JP
Euro,"ユーロ, ユーロー",,de-DE,ja-JP
dabei,その際,,de-DE,ja-JP
etwa,"辺りに, 物の, 内外, 大体, 大体, およそ, くらい, ばっかし, ほぼ, …ばっかり, 概数で, ざっと, おおよそ, ばかし, ぐらい, …足らず, 約, 前後, 前後, およその, まず, 程",,de-DE,ja-JP
Ende,"明(け), 切(れ)目, 終末, 引け際, 際限, 末路, 出口, 末しょう, 末始終, 大詰(め), 結末, 末期, 端, 末方, テール･エンド, 尻, つい, びりっこけ, 極, 止めど, 段落, びり, 幕切(れ), 決着, 突(き)当(た)り, ワンラ, 詰(ま)り, 詰(ま)り, 後尾, 果(て)し, {尻尾}, びりっけつ, あっぱ, あっぱ, 先途, 末尾, 落(ち), 極(み), 端, 止(め), 末端, …末, 開(き), 跳(ね), 最終, うら, 終期, 果(て), 底止, 締め, 締め, 止(ま)り, 取(り)留め, びりっこ, 打(ち)留め, 終止, 終端, 団円, オメガ, 最後, エンド, エンド, 幕, 終尾, とことん, とことん, 方図, 結了, 末, 行(き)当(た)り, 一区切(り), 終えん, 切り, とう尾, 傍, ラスト, 結尾, ピリオド, おしまい, 端, 終局, 終結, 極所, ちょうび, 一杯, 一杯, 涯, 切(り)上げ, 結句, 結句, 終了, 句切(り), つま, ジ･エンド, 大切(り), 詰(め), 極(め), 先, 暮(れ), エンド･マーク, 終(わ)り, 末葉, 結局, 結局, 仕舞(い), 行(き)当(た)り, 大尾, びりけつ, 端っこ, 端っこ, どん詰(ま)り, どん詰(ま)り, 幕引き, 尾端, 界限, くくり, 了, 端っぽ",,de-DE,ja-JP
hier,"ここに, ここに, ここに, ここに, この辺, ここ, ここにおいて, ここで, はい, 〈此方〉, 当所において, この場",,de-DE,ja-JP
viele,"幾らも, どっさり, 八百八, 数多の, 沢山の, たんと, 幾…, 幾多, 八(つ), 幾つ, 大勢の, 数々, 数が多い, たんまり, 沢山, いくつもの, 幾つも, 幾つもの, 各…, 多山, 山沢, 数ある",,de-DE,ja-JP
Prozent,"パーセント, プロ, 割(り), 百分, プロセント, パー",,de-DE,ja-JP
nun,"はてな, 時に, まあ, まあ, ええと, どれ, 左様, 左様, それでは, ま, そして, はてさて, ここにおいて, じゃ, ところで, さてさて, …した現在では, はい, はい, 今更, 今更, ところが, えーと, 今頃はもう, さては, じゃあ, ただいまでは, 一体, それじゃ, いざや, さあ, さて, そこで, えー, さても, これから, はて, そうして, ええ, ええっと, ほな",,de-DE,ja-JP
selbst,"御自分, 自分, 自分, だって, 自分自身で, セルフ, 自分で, 自(ら), さえ, も, 一己, 〈流石〉, …すら, 自身で, さしもの, 己, 己, 本人自ら, 自身, 自体, 自体, 単身で, 自家, たりとも",,de-DE,ja-JP
da,"もって, そこ, ですから, ので, 〈何故〉ならば, 以上, んで, 〈何故〉なら, そこに, から, しかれば, 何となれば, ものゆえ, 〈彼方〉, だから, そこもと, ですので, もので, もんで, さかい",,de-DE,ja-JP
Stadt,"シティー, 都, シティ, 都会, 町内, ちまた, タウン, 町, 都市, 城府, 都, 市頭",,de-DE,ja-JP
müssen,"かなわない, ならぬ, 得無い, させられる, べきである, …ならない, 大便を催す, …べきだ",,de-DE,ja-JP
rund,"環状の, ぐりぐり, ぐりぐり, 円い, 円い, くるっと, 丸ぽちゃの, くるりと, 円らな, くりくり, まどかな, 丸味のある, ふっくり, まとまった, くるり, ぐりぐりっ, ふっくらとした, 概数で, 団々, でくでく, ぷくっ, 約, まどか, 団々たる, くるっ, ぷくっと, かれこれ, ぷっくり, つぶらか, ぽっこり",,de-DE,ja-JP
finden,"あなぐり出す, ゲットする, 探知する, 尋(ね)当てる, 拾う, 捜し当てる, 取る, 発見する, 捜し出す, 掘(り)出す, 拾得する, 得る, 得る, 見付ける, 検索する, 見付(け)出す",,de-DE,ja-JP
ohne,"…なくて, …なくて, 除いて, 空",,de-DE,ja-JP
Kinder,"子等, こぶ, 子女, キッズ, 子供たち, 児女, 子供ら, 子弟, 小人, 小, チルドレン",,de-DE,ja-JP
heute,"今では, 近頃, {今日}, 今日中に, 茲の, 今時, 今, 今, トゥデー, 本日, 今日, {今日}一日, {今日}の日, オッジ, ツデー",,de-DE,ja-JP
Unternehmen,"エンタプライズ, 企業, 会社, 事業, エンタープライズ, エンタープライゼス, ファーム, 企行",,de-DE,ja-JP
gut,"ファイン, ファイン, 達者に, 良, {上手}な, 無難な, 芳しい, ナイス, ナイス, 正しい, 無難の, 小気味のよい, 良好な, 令, グッド, グッド, 順調な, 上出来の, 順調に, 良し, うまい, 口当たりのよい, あんじょう, 〈美味〉しい, {大人}しい, グー, 好, ろくに, 佳良な, {上手}に, 人の良い, 良い, よろしい, よろしい, ろくすっぽう, よく, よく, 変わりなく, たっぷり, いい, ろくろく, 善良な, よし, 得意な, 優に, 親しい, 心の正しい, さて, ろくすっぽ, クリーン, 好調の, 善くぞ, ろくな, 出来のよい, 宜, まいうー, 白い, ボン",,de-DE,ja-JP
weiter,"もう, 且(つ), 又, この先, しかも, 先に, 且つ又, なお, なお, もっと, 一歩進んで, その他, 一段, 一段, 一等, 一等, 加えて, より",,de-DE,ja-JP
Ich,"自分, 自分, 自我, 主我, 自己",,de-DE,ja-JP
weitere,その外の,,de-DE,ja-JP
Uhr,"クロック, {時計}, 時しん儀",,de-DE,ja-JP
viel,"多分に, どっさり, たいそうな, 大いに, うんとこさ, うんとこさ, 〈数多〉, 数多の, いそ, たんと, 色んな, か多の, うんと, 余計に, 多い, 多分, 多分の, もっとずっと, やたらに, 多大の, 数多く, 仰山, 数多, 多大, 豊(か), 浩, 仰山な, 多量の, ムーチョ, か多, やたら, 幾多の, いろいろな, 余計, 余計, 多々, はるかに, 数多い, 多くの, 一杯, 一杯, か多な, 大層, はるか, たんまり, ずっと, 沢山, ずうっと, 大量の, 余計な, 多数の, なんまら, やたらめったら, 多山, 多き, がっつり, 山沢, どんと",,de-DE,ja-JP
ihm,彼に,,de-DE,ja-JP
ihn,彼を,,de-DE,ja-JP
erste,初…,,de-DE,ja-JP
andere,"その外の, その外, 余人, 余の, 余人, ほかの人",,de-DE,ja-JP
machen,"合格する, 下す, なさる, 仕出かす, やらせる, やらかす, こしらえる, せる, 致します, こさえる, 致す, 作る, 作る, 作る, 作る, 製する, 使う, する, させる, 入れる, 成る, なせる, やる, 印する, 決める, なす, 取る, 演じる, しめる, つかまつる, 申(し)上げる, なされる, せしむる, 行ずる, される, さらす",,de-DE,ja-JP
dort,"そこ, あちらに, かの地, 〈彼処〉, 〈彼処〉, そこに, 貴地, 〈彼処〉, 〈彼方〉, 〈其方〉, あちらで, 〈其方〉, 〈此方〉, 彼の辺, あの辺り, そこで, 〈彼方〉, そこが, そっち, 〈彼方〉, そこもと",,de-DE,ja-JP
Teil,"お福分け, おすそわけ, ピース, 部位, セグメント, 裾分け, 局部, 分, 片, 片, 部, 部, 所, 分子, 節, 箇所, 部品, 編, 編, 部材, 取り代, 部分, 局所, 奴",,de-DE,ja-JP
vier,"フォア, 四(つ), 四, フォアー, 四, 四, 四, フォーア, フォー, 四つ, テトラ",,de-DE,ja-JP
dazu,"さえ, …すら, その上, 加うるに, し, 更, 更に, このために, 加えて, 付(け)加えると, そのために, それに加えて, このため",,de-DE,ja-JP
ganz,"皆目, 挙げて, 段段乎たる, 至極, 至極, 正しい, 丸々, 丸々, もはら, 土台, 土台, もろに, …ずくめ, ぼっかり, 全般の, 丸っ切り, かいくれ, およそ, 十分, ばらりと, だんだんこ, 奇麗な, 一, すっかり, すっかり, 全…, 真…, ほとほと, 余す所なく, 丸ごと, 一切の, 丸切り, こてんぱ, 〈一向〉, 十分な, 余っ程, 根切り葉切り, 全体的, またく, がらり, 随分, 全幅の, 全て, すっぽり, おおよそ, ぴたり, 丸…, なみなみ, 余程, こてんぱん, 一杯, 一杯, 残らず, 全く, ほっかり, ばっちり, 何となく, 一切, ぴったり, 全体の, 赤, 赤, 根っ切り葉っ切り, こてんこてん, まったくの, 真…, 〈只管〉, ばらり, 全くもって, …尽(く)め, 有無に, ホール, がらっと, 全き, どうもこうも, ぴったし",,de-DE,ja-JP
erhalten,"保持する, 有り付く, 拝する, 保つ, 領収する, 入る, 保存する, 浴する, 食う, 食う, 被る, 維持する, 落手する, 収納する, 受信する, 領する, 拾う, 承る, 手に入れる, 賜(わ)る, 受領する, もらい下げる, 奉じる, 下される, 拝受する, 食(ら)う, 取る, 引(き)取る, 引(き)取る, もらう, 受ける, 収受する, 受(け)取る, 申(し)受ける, 頂く, 奉ずる, 入手する, つなぐ, 保有する, ちょうだいする, もらい受ける",,de-DE,ja-JP
während,"しかるに, …中, 傍らに, 傍らの, …たら, 共に, …において, 中, …の間, …おける, 内, 内, …に於ける, 同時の, 間に, …おいて, 中, 間中",,de-DE,ja-JP
jetzt,"現今は, 今では, この場で, 今般, 今のうち, ただ今, ただ今, このごろ, この度, 今は, 目今, これ, こたび, 今時, 今, 今, 今度, 今更, 今更, 今度こそは, 今頃はもう, この時, この程, ここんところ, 今時分, 方今, 現時点で, 現時点, 現時点は, ナウ, このところ, 今程, 今来",,de-DE,ja-JP
möglich,"可能な, 有りそう, 可能性のある, 本当らしい",,de-DE,ja-JP
nicht mehr,もはや,,de-DE,ja-JP
statt,代(わ)りに,,de-DE,ja-JP
sollte,はず,,de-DE,ja-JP
lassen,"やらせる, 置く, 置く, せる, させる, しめる, 差(し)置く, せしむる",,de-DE,ja-JP
etwas,"何か, 何か知ら, 軽めに, 若干, 少し, 少々, ちょっこり, 物, エトワス, 僅少な, あること, なにがし, 薄々, 何物か, 一分一厘, 〈一寸〉, やや, 少しく, 微妙, 何, どれか, 多少, 一分一点, 幾分, 幾分, 幾らか, 何物, 僅少の, ごう末, 多少の, 事, ちっと, 何事, サムシング, ちょこっと, ちょいと, ちょいと, 軽目, ちょい, 少許, ちょっくら, 微妙に, ある物, エトバス, こっちゃ",,de-DE,ja-JP
sollen,"ならぬ, …そう, 望む, べきである, …ならない, …べきだ",,de-DE,ja-JP
dieses,"その事, その物",,de-DE,ja-JP
Wenn,イフ,,de-DE,ja-JP
Daten,"種, データ, データ, 材料, 資料, データー, データー, 与件",,de-DE,ja-JP
später,"ア･ポステリオリ, 以後, 後の, その後の, その後になって, 先なってから, 程経て, 後, 後程, 後から, 後, 後に, 改めて, 又の日, 後刻, 後日, 後, 後で, それ以後, 後に, その後, 後段に, 後年, 後日, その後, 以還, 追って",,de-DE,ja-JP
stehen,"よどむ, 停止している, 動かないでいる, 出る, 置いてある, 臨む, 居る, 立っている, 建つ, 板に付く, 立っちする, 立たす",,de-DE,ja-JP
vor allem,"殊更, 何より, 主に, 折角, 分けても, 殊に, 殊更に, 中でも, 何はさて置き, さして, 取(り)分けて, 何を差し置いても, 何をおいても, 世に, 分(け)て, 世にも, 何よりも, 取(り)分(け), 取(り)分(け), 特に, 主として, 〈就中〉, 有るが中, 有るが中に, 何にも増して",,de-DE,ja-JP
Leben,"在世, 命, 生き, 生き, 命脈, 生存, 息の緒, 世渡(り), 世, ライフ, 生, 存生, 身命, 伝, 魂, 人生, 一期生, 在世, 渡世, 常命, 年寿, 世過ぎ, 暮(ら)し, 活, 寿命, 息の根, 生, 活気, 玉の緒, 生活, 一生涯, 生息, 世の中, 生涯, 活計, こ口, 生物界, 身命, レーベン, 生あるもの, 生気, 消光, リビング, 寝起(き), 生命, 存命, 有生, 生霊",,de-DE,ja-JP
erst,"初の, まだ, つい, 最前, ばっかし, …ばっかり, {最寄(り)}の, ばかし, 一次の, 一, ようよう, 一の, 上, …ばかり",,de-DE,ja-JP
kommen,"いらっしゃる, おいでる, 来ます, 参る, 越す, 来る, 参じる, 参じる, 参じる, 参じる, やってくる, いらせられる, 来(た)る, 来(た)る, 行く, おいでになる, 臨む, 御座る, 見える, 参ずる, 参ずる, 参ずる, 参ずる, おじゃる, 行く, 行く, 来られる, 至る, おわす, 御座んす",,de-DE,ja-JP
ob,"否か, 〈何時〉かは",,de-DE,ja-JP
dafür,"その代わりに, そのかわり, その割に",,de-DE,ja-JP
Arbeit,"所為, お仕事, 就労, 仕事, 仕事, 業, 職業, 働き口, 操業, 作(り), 工, 苦労, 勤め向き, 働(き), 任務, 著作物, 論文, 用事, 職, ワーク, 作品, 能事, 労務, 勤労, 仕事量, 労, ワーキング, 事業, 営み, 用, 所用, 勤め, トラバーユ, 職務, 耕, 就職口, 稼(ぎ)口, 労力, 細工, 園務, 就業, 労働, 用足(し), 仕, アルバイト, 出来, 仕業, 巧み, 工事, 勤務, 業, 出仕事",,de-DE,ja-JP
wo,"どこら, いずく, 〈何方〉, 〈何方〉, どこに, どこ, 〈何方〉, 那辺, いずこ, どこらあたり, どこらへん, いずくへ",,de-DE,ja-JP
Millionen,"数百万, 巨万",,de-DE,ja-JP
allerdings,"もっとも, けれども, けど, はい, けれど, 但(し), なれど, なれども, けんど",,de-DE,ja-JP
Ort,"ローカル, スポット, 場, 場面, サイト, 地, 境, 場席, プレース, ロケーション, 所, 所, 境, 地点, 箇所, 場所, プレイス, とこ, ローカス, ローカス",,de-DE,ja-JP
